# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
lbasterra,Basterra,Luis Eugenio,FORMOSA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1958-10-14,67,M,Ingeniero Agrónomo,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/23124773849_20231218134240000_small.png,2026-02-17
abasualdo,Basualdo,Atilio,FORMOSA,2025-2029,2025-12-17,2029-12-09,LA LIBERTAD AVANZA,1962-04-04,64,M,Actividad Pecuaria,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20147385375_20251216131254000_small.png,2026-02-17
cbasualdo,Basualdo,Carolina,CORDOBA,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1978-06-19,47,F,Licenciada en Comunicación,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27264849638_20251203092410000_small.png,2026-02-17
mbecerra,Becerra,Mónica,SAN LUIS,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1974-06-16,51,F,Contadora Pública Nacional,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27239991810_20251127111527000_small.png,2026-02-17
bbenedit,Benedit,Beltrán,ENTRE RIOS,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1957-09-28,68,M,Ingeniero en Producción Agropecuaria,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20131823666_20231207102136000_small.png,2026-02-17
abenegasl,Benegas Lynch,Bertie,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1967-11-04,58,M,Magister en Economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20186213476_20231218134617000_small.png,2026-02-17
rbianchetti,Bianchetti,Emmanuel,MISIONES,2023-2027,2023-12-10,2027-12-09,PRO,1981-08-01,44,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20290353123_20241015130737000_small.png,2026-02-17
bbiellac,Biella,Bernardo,SALTA,2025-2029,2025-12-10,2029-12-09,INNOVACIÓN FEDERAL,1963-01-31,63,M,Médico,Salud,https://parlamentaria.hcdn.gob.ar/image/20162915119_20251204135134000_small.png,2026-02-17
rbonacci,Bonacci,Rocío,SANTA FE,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1996-06-29,29,F,Emprendedora,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27396592881_20231128103306000_small.png,2026-02-17
abongiovanni,Bongiovanni,Alejandro,SANTA FE,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1983-03-23,43,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20301123990_20231128103659000_small.png,2026-02-17
