# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
jglinski,Glinski,José,CHUBUT,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1980-08-05,45,M,POLITOLOGO,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20280759881_20231128111210000_small.png,2026-02-17
mgoitia,Goitia,Rosario,CHACO,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1978-02-28,48,M,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27264184830_20251126103200000_small.png,2026-02-17
jegomez,Gomez,José,SANTIAGO DEL ESTERO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1962-10-25,63,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20161912078_20231129151752000_small.png,2026-02-17
agonzales,Gonzales,Alfredo,JUJUY,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1988-04-20,38,M,Licenciado en Administración de Empresas,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20336276188_20251125112710000_small.png,2026-02-17
digonzalez,González,Diógenes Ignacio,CORRIENTES,2025-2029,2025-12-10,2029-12-09,UCR - UNIÓN CÍVICA RADICAL,1965-08-21,60,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20174122777_20251204143840000_small.png,2026-02-17
gggonzalez,González,Gerardo Gustavo,FORMOSA,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1974-12-29,51,M,Empresario,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20242876203_20231128101035000_small.png,2026-02-17
agonzalez,González,Álvaro,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PRO,1958-10-12,67,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20126966505_20231206151116000_small.png,2026-02-17
mgestevarena,González Estevarena,María Luisa,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1956-07-06,69,F,Abogada y Escribana,Derecho,https://parlamentaria.hcdn.gob.ar/image/27127995236_20251204143658000_small.png,2026-02-17
jgrabois,Grabois,Juan,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1983-05-23,43,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20303347659_20251126103754000_small.png,2026-02-17
mgruber,Gruber,Maura,MISIONES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1984-02-08,42,F,Empresaria,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/23304576774_20251204144040000_small.png,2026-02-17
cgutierrez,Gutiérrez,Carlos,CORDOBA,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1953-10-27,72,M,Comerciante,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/10821747_20200214145746000_small.png,2026-02-17
crgutierrez,Gutiérrez,Ramiro,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1967-04-01,59,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20178882873_20200206125402_small.png,2026-02-17
jguzman,Guzmán,Jairo,SANTA CRUZ,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1983-06-15,42,M,Funcionario,Servicios Públicos / Funcionario,https://parlamentaria.hcdn.gob.ar/image/20303559680_20251204144249000_small.png,2026-02-17
rhadad,Hadad,Raúl,CORRIENTES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1986-03-29,40,M,Fecha de Nac.: 29/03/1986,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20323020516_20251126104035000_small.png,2026-02-17
ihagman,Hagman,Itai,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1983-02-13,43,M,Economista,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20190103200_20251127083856000_small.png,2026-02-17
dhartfield,Hartfield,Diego,MISIONES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1981-01-31,45,M,Agente productor de Bolsa,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20284663447_20251211134306000_small.png,2026-02-17
oherreraa,Herrera,Oscar,MISIONES,2025-2029,2025-12-10,2029-12-09,INNOVACIÓN FEDERAL,1971-08-20,54,M,Médico,Salud,https://parlamentaria.hcdn.gob.ar/image/20223522514_20251126104204000_small.png,2026-02-17
pholzman,Holzman,Patricia,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1965-11-09,60,F,Contadora Pública,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27176050034_20251204144807000_small.png,2026-02-17
mhuesen,Huesen,Gerardo,TUCUMAN,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1980-03-21,46,M,Comerciante,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20279611412_20231206151210000_small.png,2026-02-17
ghumenuk,Humenuk,Gladys,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1973-01-01,53,F,Lic. en Dirección y Comercialización de Empresas,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27231385776_20251204145032000_small.png,2026-02-17
aianni,Ianni,Ana María,SANTA CRUZ,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1969-09-21,56,F,Docente / Guía de Turismo,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27209648909_20231128100843000_small.png,2026-02-17
mibanez,Ibañez,María Cecilia,CORDOBA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1965-02-19,61,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/23171578434_20231129152402000_small.png,2026-02-17
cjaimeq,Jaime Quiroga,Carlos Gustavo,SAN JUAN,2025-2029,2025-12-10,2029-12-09,PRODUCCION Y TRABAJO,1981-12-25,44,M,Comerciante,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20291658971_20251201114641000_small.png,2026-02-17
pjuliano,Juliano,Pablo,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1988-04-06,38,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/23337997589_20231128111433000_small.png,2026-02-17
mkirchner,Kirchner,Máximo Carlos,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1977-02-16,49,M,Fecha de Nac.: 16/02/1977,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20258693109_20231128170631000_small.png,2026-02-17
mlanesan,Lanesan Sancho,Moira,SANTA CRUZ,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1985-02-03,41,F,Martillera - Corredora Inmobiliaria - Productora de Seguros,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27314401234_20251127085330000_small.png,2026-02-17
alaumann,Laumann,Andrés Ariel,ENTRE RIOS,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1972-02-08,54,M,Comerciante,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20225959111_20251204145542000_small.png,2026-02-17
aleiva,Leiva,Aldo,CHACO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1963-01-10,63,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20165030398_20240319150734000_small.png,2026-02-17
lbolukalol,Lemoine,Lilia,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1980-11-07,45,F,ESPECIALISTA EN IT,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/27282985263_20231128101233000_small.png,2026-02-17
aleone,Leone,Andrés,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1970-09-07,55,M,Ingeniero Agrónomo,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20217318670_20251204145720000_small.png,2026-02-17
mllano,Llano,Mercedes,MENDOZA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1978-08-27,47,F,Politóloga-Docente Universitario,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27267928539_20231128104245000_small.png,2026-02-17
elluch,Lluch,Enrique,CORDOBA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1982-11-25,43,M,Empresario,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20296629597_20251204145853000_small.png,2026-02-17
jslongo,Longo,Johanna Sabrina,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1982-08-05,43,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27296966075_20251126105244000_small.png,2026-02-17
mlousteau,Lousteau,Martín,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1970-12-08,55,M,ECONOMISTA,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20219540125_20251125150757000_small.png,2026-02-17
jluque,Luque,Juan Pablo,CHUBUT,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1977-12-20,48,M,ABOGADO,Derecho,https://parlamentaria.hcdn.gob.ar/image/20263667000_20251126081336000_small.png,2026-02-17
mjlopez,López,Jimena,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1979-10-26,46,F,Licenciada en Servicio Social,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27277083561_20251126105452000_small.png,2026-02-17
clopezp,López Pasquali,Cecilia,SANTIAGO DEL ESTERO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1947-12-31,78,F,Arquitecta,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/27057991025_20251204150040000_small.png,2026-02-17
mmacyszyn,Macyszyn,Lorena,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1978-07-28,47,F,Lic. en Administración,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27267660633_20231129152015000_small.png,2026-02-17
hmango,Mango,Marcelo,RIO NEGRO,2023-2027,2025-12-10,2027-12-09,UNIÓN POR LA PATRIA,1964-11-02,61,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20173882174_20251201142709000_small.png,2026-02-17
mrmanrique,Manrique,Mario,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1961-08-02,64,M,Mecánico,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20146757066_20231128100511000_small.png,2026-02-17
lmarclay,Marclay,Marianela,ENTRE RIOS,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1984-04-03,42,F,Lic. en Familia,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27305499108_20251126085708000_small.png,2026-02-17
jmarino,Marino,Juan,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1987-11-25,38,M,Fecha de Nac.: 25/11/1987,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20338868244_20231128101152000_small.png,2026-02-17
gpmartinez,Martínez,Germán Pedro,SANTA FE,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1975-02-22,51,M,Licenciado en Ciencias Políticas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20242395752_20200206125405_small.png,2026-02-17
amartinez,Martínez,Álvaro,MENDOZA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1986-11-13,39,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20326276287_20251201145432000_small.png,2026-02-17
vmarin,Marín,Varinia Lis,LA PAMPA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1968-02-23,58,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27201070746_20251126110014000_small.png,2026-02-17
nmassot,Massot,Nicolás,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,ENCUENTRO FEDERAL,1984-07-16,41,M,Economista,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20310895955_20231128100601000_small.png,2026-02-17
kmaureira,Maureira,Karina,NEUQUEN,2025-2029,2025-12-10,2029-12-09,LA NEUQUINIDAD,1971-05-29,54,F,Periodista - Locutora Nacional MN 5121 - Cantante - Profesora de Comunicación y Oratoria,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/23221392094_20251211134029000_small.png,2026-02-17
nmayoraz,Mayoraz,Nicolás,SANTA FE,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1968-09-11,57,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20202980210_20231128104924000_small.png,2026-02-17
gmedina,Medina,Gladys,TUCUMAN,2025-2029,2025-12-10,2029-12-09,INDEPENDENCIA,1973-04-29,53,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27233105193_20251202145510000_small.png,2026-02-17
mmenem,Menem,Martín,LA RIOJA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1975-04-19,51,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20245792906_20231207105307000_small.png,2026-02-17
mmetrala,Metral Asensio,Julieta,MENDOZA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1989-08-23,36,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27347466331_20251126110610000_small.png,2026-02-17
gmichel,Michel,Guillermo,ENTRE RIOS,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1977-03-05,49,M,Abogado/Contador,Derecho,https://parlamentaria.hcdn.gob.ar/image/20256611210_20251126111108000_small.png,2026-02-17
rmino,Miño,Fernanda,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1974-07-19,51,F,Profesora,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27241001070_20251126111348000_small.png,2026-02-17
jucmolina,Molina,Juan Carlos,SANTA CRUZ,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1966-12-08,59,M,Sacerdote,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20179418046_20251203102227000_small.png,2026-02-17
mmolinuevo,Molinuevo,Soledad,TUCUMAN,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1973-05-03,53,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27225573641_20251126111910000_small.png,2026-02-17
mmolle,Molle,Matías,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1976-12-05,49,M,Fecha de Nac.: 05/12/1976,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20253485478_20231128101340000_small.png,2026-02-17
mmondaca,Mondaca,Soledad,NEUQUEN,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1985-01-30,41,F,Lic. Comunicación,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27340841366_20251126112238000_small.png,2026-02-17
fmonguillot,Monguillot,Fernando,CATAMARCA,2025-2029,2025-12-10,2029-12-09,ELIJO CATAMARCA,1988-03-15,38,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20336951292_20251204152800000_small.png,2026-02-17
gmontenegro,Montenegro,Guillermo,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1975-08-16,50,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20245846828_20231205094335000_small.png,2026-02-17
jpmontenegro,Montenegro,Juan Pablo,SANTA FE,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1978-06-24,47,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20266676531_20251204153033000_small.png,2026-02-17
rmonzon,Monzón,Roxana,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1974-05-31,51,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27239191288_20231128101806000_small.png,2026-02-17
fmorchio,Morchio,Francisco,ENTRE RIOS,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1975-05-25,50,M,Ing. en Producción Agropecuaria,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20245607068_20231129150853000_small.png,2026-02-17
cmoreau,Moreau,Cecilia,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1976-12-05,49,F,Fecha de Nac.: 05/12/1976,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27256151524_20200206125351_small.png,2026-02-17
jumoreno,Moreno Ovalle,Julio,SALTA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1954-10-26,71,M,Contador público-Doctor en economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20112830325_20231207101650000_small.png,2026-02-17
hmoyano,Moyano,Hugo Antonio,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1983-09-26,42,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20305063291_20251127154357000_small.png,2026-02-17
jmukdise,Mukdise,Jorge,SANTIAGO DEL ESTERO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1972-12-23,53,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20228949907_20251126121705000_small.png,2026-02-17
gmunoz,Muñoz,Gabriela Luciana,NEUQUEN,2023-2027,2025-12-10,2027-12-09,LA LIBERTAD AVANZA,1990-02-27,36,F,ACOMPAÑANTE TERAPÉUTICO - ARTISTA,Artes y Cultura,https://parlamentaria.hcdn.gob.ar/image/27348606684_20251127141340000_small.png,2026-02-17
eneder,Neder,Estela Mary,SANTIAGO DEL ESTERO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1957-12-12,68,F,Licenciada en Nutrición,Salud,https://parlamentaria.hcdn.gob.ar/image/23137026104_20200206125333_small.png,2026-02-17
lnieri,Nieri,Lisandro,MENDOZA,2023-2027,2023-12-10,2027-12-09,UCR - UNIÓN CÍVICA RADICAL,1972-06-12,53,M,Lic. en Economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20227777436_20231130151346000_small.png,2026-02-17
mniveyro,Niveyro,Miriam,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1968-02-13,58,F,Psicopedagoga,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27200012513_20251126125955000_small.png,2026-02-17
mnoguera,Noguera,Javier,TUCUMAN,2025-2029,2025-12-10,2029-12-09,INDEPENDENCIA,1970-08-03,55,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20217440743_20251127092235000_small.png,2026-02-17
jnunez,Nuñez,José,SANTA FE,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1974-11-12,51,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20242920644_20200206125307_small.png,2026-02-17
dnoblega,Nóblega,Sebastián,CATAMARCA,2023-2027,2023-12-10,2027-12-09,ELIJO CATAMARCA,1983-09-19,42,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20303646362_20231130151045000_small.png,2026-02-17
jojeda,Ojeda,Joaquín,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1991-01-23,35,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20358926933_20251126131046000_small.png,2026-02-17
kolmos,Olmos,Kelly,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1952-07-08,73,F,Lic. en Economía,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/27104003465_20251211133815000_small.png,2026-02-17
bosuna,Osuna,Blanca Inés,ENTRE RIOS,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1950-10-25,75,F,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/27065013253_20200206125406_small.png,2026-02-17
poutes,Outes,Pablo,SALTA,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1967-12-11,58,M,Contador,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20186082134_20231206151257000_small.png,2026-02-17
mpagano,Pagano,Marcela Marina,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,COHERENCIA,1985-12-04,40,F,Periodista,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27319281628_20231128104503000_small.png,2026-02-17
spalazzo,Palazzo,Sergio Omar,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1962-04-05,64,M,Fecha de Nac.: 05/04/1962,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20160116006_20211202190948000_small.png,2026-02-17
cpalladino,Palladino,Claudia María,CATAMARCA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1965-08-07,60,F,Médica Pediatra,Salud,https://parlamentaria.hcdn.gob.ar/image/27177269323_20251127141926000_small.png,2026-02-17
spareja,Pareja,Sebastián,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1975-10-03,50,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20249630161_20251127082608000_small.png,2026-02-17
mgparola,Parola,María Graciela,FORMOSA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1978-09-06,47,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27267107721_20200206125405_small.png,2026-02-17
mpatinob,Patiño Brizuela,Marcos,CORDOBA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1977-11-14,48,M,ABOGADO,Derecho,https://parlamentaria.hcdn.gob.ar/image/20187947740_20251126134524000_small.png,2026-02-17
jpauli,Pauli,Santiago,TIERRA DEL FUEGO,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1987-07-08,38,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20330842025_20250310200035000_small.png,2026-02-17
epaulon,Paulón,Esteban,SANTA FE,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1978-06-17,47,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20265696725_20231206151402000_small.png,2026-02-17
gpedrali,Pedrali,Gabriela,LA RIOJA,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1964-02-02,62,F,Empleada,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/27167558742_20251204153727000_small.png,2026-02-17
apellegrini,Pellegrini,Agustín,SANTA FE,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,2000-03-20,26,M,Productor de Seguros,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20423258609_20251211134659000_small.png,2026-02-17
fpelli,Pelli,Federico Agustín,TUCUMAN,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1985-06-23,40,M,Licenciado en Administración,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20318128031_20251126135026000_small.png,2026-02-17
jpeluc,Peluc,José,SAN JUAN,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1972-10-10,53,M,Productor,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20229030680_20231128104116000_small.png,2026-02-17
ppenacca,Penacca,Paula Andrea,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1981-04-27,45,F,legisladora,Servicios Públicos / Funcionario,https://parlamentaria.hcdn.gob.ar/image/27288605993_20231129153817000_small.png,2026-02-17
lpetri,Petri,Luis,MENDOZA,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1977-04-01,49,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20258871112_20251215092917000_small.png,2026-02-17
mpetrovich,Petrovich,María Lorena,BUENOS AIRES,2023-2027,2025-12-10,2027-12-09,LA LIBERTAD AVANZA,1979-10-23,46,F,Periodista,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27276017328_20251215093643000_small.png,2026-02-17
lpicat,Picat,Luis Albino,CORDOBA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1974-06-03,51,M,Empresario,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/24240124552_20231129152201000_small.png,2026-02-17
mpichetto,Pichetto,Miguel Ángel,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,ENCUENTRO FEDERAL,1950-10-24,75,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20084824403_20231207101138000_small.png,2026-02-17
npiconm,Picón Martínez,Nancy Viviana,SAN JUAN,2023-2027,2023-12-10,2027-12-09,PRODUCCION Y TRABAJO,1975-12-05,50,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27251183207_20231129153354000_small.png,2026-02-17
hpietragallac,Pietragalla Corti,Horacio,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1976-03-11,50,M,Asesor,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/20260191951_20251126135219000_small.png,2026-02-17
npitrola,Pitrola,Nestor,BUENOS AIRES,2023-2027,2025-12-10,2027-12-09,FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,1952-04-01,74,M,Trabajador gráfico,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20104458832_20251201112051000_small.png,2026-02-17
lpokoikg,Pokoik,Lorena,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1972-12-24,53,F,Lic. en Politicas Públicas,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27232050107_20231128101305000_small.png,2026-02-17
mponce,Ponce,María Celeste,CORDOBA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1987-12-30,38,F,Empresaria,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27329016817_20240220173740000_small.png,2026-02-17
lpotenza,Potenza,Luciana,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1994-11-01,31,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27383193562_20231205094547000_small.png,2026-02-17
apropato,Propato,Agustina Lucrecia,BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1982-06-25,43,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27295495540_20251203103219000_small.png,2026-02-17
